task,method,num_clusters,partition_seed,region_i,region_j,pi_i,pi_j,energy_i,energy_j,bures_squared,normalized_bures,q_ij,weight,fixed_action_factor_distance_squared,orthogonal_relaxation_gap,intercept_distance_squared
tworoom,kmeanspp,4,0,0,1,0.2531759590695295,0.2184420441454104,1.8934068183315074,2.4224796456480213,3.9817514336812385,0.9225802084723527,0.46129010423617633,0.15668314566288846,4.649813096294493,0.6680616626132547,4.445527256278645
tworoom,kmeanspp,4,0,0,2,0.2531759590695295,0.24658342522348095,1.8934068183315074,1.6719437675695799,2.985769434277346,0.837440628162725,0.4187203140813625,0.14611074690057543,4.0140707177347466,1.0283012834574006,1.9406486173349988
tworoom,kmeanspp,4,0,0,3,0.2531759590695295,0.2817985715615791,1.8934068183315074,2.179872468897143,3.761098648932112,0.9233588918699122,0.4616794459349561,0.19076513970999387,4.286877675679892,0.52577902674778,3.1002838784451487
tworoom,kmeanspp,4,0,1,2,0.2184420441454104,0.24658342522348095,2.4224796456480213,1.6719437675695799,3.688639672630333,0.9008935570079736,0.4504467785039868,0.14477262193277132,4.50006408491496,0.8114244122846266,1.929731155661124
tworoom,kmeanspp,4,0,1,3,0.2184420441454104,0.2817985715615791,2.4224796456480213,2.179872468897143,3.1269290300794816,0.6794197732496845,0.33970988662484225,0.18597237469413408,6.077757410599803,2.9508283805203215,4.120887018943545
tworoom,kmeanspp,4,0,2,3,0.24658342522348095,0.2817985715615791,1.6719437675695799,2.179872468897143,2.8631404069920983,0.7433221709503103,0.37166108547515514,0.1756959710996369,4.6350126624307855,1.7718722554386872,2.228933332296065
tworoom,kmeanspp,4,1,0,1,0.23171573020977876,0.25545984522072146,1.858354967580186,2.0565617049521228,3.5536887446441163,0.9077303661601213,0.45386518308006063,0.14191635224901059,3.929198687625689,0.3755099429815725,2.2528885313162696
tworoom,kmeanspp,4,1,0,2,0.23171573020977876,0.2499498016182388,1.858354967580186,2.6084845864041384,2.9552092726656984,0.661588408750817,0.3307942043754085,0.1584310942820765,5.243447086440577,2.2882378137748787,2.960344952523318
tworoom,kmeanspp,4,1,0,3,0.23171573020977876,0.262874622951261,1.858354967580186,2.17739876252865,3.349868086458949,0.8300476962871096,0.4150238481435548,0.15054300887038605,4.697011521382438,1.3471434349234892,3.0867646657058403
tworoom,kmeanspp,4,1,1,2,0.25545984522072146,0.2499498016182388,2.0565617049521228,2.6084845864041384,3.7773426044343363,0.8097117088491218,0.4048558544245609,0.18241609471097858,5.551565703505323,1.774223099070987,2.7071601130637584
tworoom,kmeanspp,4,1,1,3,0.25545984522072146,0.262874622951261,2.0565617049521228,2.17739876252865,3.606101918465225,0.851708925050704,0.425854462525352,0.174120482227806,4.835680311534938,1.2295783930697133,3.252355452695502
tworoom,kmeanspp,4,1,2,3,0.2499498016182388,0.262874622951261,2.6084845864041384,2.17739876252865,3.527656214480456,0.7370961549380625,0.36854807746903123,0.19257296765974233,6.022773406151501,2.495117191671045,3.7934923374399157
tworoom,kmeanspp,4,2,0,1,0.23100902673470464,0.24910287919969756,2.101384785544427,2.1406163861445258,2.840270960473429,0.669559211682767,0.3347796058413835,0.17641961939146675,5.009969932687385,2.169698972213956,4.9700213887585525
tworoom,kmeanspp,4,2,0,2,0.23100902673470464,0.26369911033884746,2.101384785544427,1.5637073595126423,2.979005609138246,0.8128051059114257,0.40640255295571287,0.16135815216908095,4.3197810236263905,1.3407754144881445,3.037731408508171
tworoom,kmeanspp,4,2,0,3,0.23100902673470464,0.2561889837267503,2.101384785544427,1.6076776763418557,3.3145853154085416,0.8936450516724042,0.4468225258362021,0.15864337749086513,4.062058685491176,0.7474733700826346,3.1941612504636003
tworoom,kmeanspp,4,2,1,2,0.24910287919969756,0.26369911033884746,2.1406163861445258,1.5637073595126423,3.279843485527289,0.8854095135103873,0.44270475675519366,0.17585905958801173,4.114175858024051,0.8343323724967622,2.894221615933125
tworoom,kmeanspp,4,2,1,3,0.24910287919969756,0.2561889837267503,2.1406163861445258,1.6076776763418557,2.9704448799347363,0.792479146623926,0.396239573311963,0.17287860606782926,4.121799765433218,1.151354885498482,3.606893273122626
tworoom,kmeanspp,4,2,2,3,0.26369911033884746,0.2561889837267503,1.5637073595126423,1.6076776763418557,2.6111845598950327,0.8233577854388391,0.41167889271941954,0.15484118529274624,3.4702707140216402,0.8590861541266075,3.1572735391849456
pusht,spectral,4,0,0,1,0.21516960345567507,0.3257773318201166,0.08856264023590513,0.07509463883739503,0.10991016590130122,0.6715873960734356,0.3357936980367178,0.16978015820727246,0.11001588559328777,0.00010571969198655551,0.014044776533118346
pusht,spectral,4,0,0,2,0.21516960345567507,0.29094178455247666,0.08856264023590513,0.11911502382311641,0.11007059453995505,0.5300068981355319,0.26500344906776596,0.19240955451459463,0.11016159685134924,9.10023113941949e-05,0.028371292367117166
pusht,spectral,4,0,0,3,0.21516960345567507,0.1681112801717317,0.08856264023590513,0.08256448562137811,0.11179947602452323,0.6533124159273374,0.3266562079636687,0.0916107538927769,0.11189198069269624,9.250466817301017e-05,0.017644864723910615
pusht,spectral,4,0,1,2,0.3257773318201166,0.29094178455247666,0.07509463883739503,0.11911502382311641,0.10055914164169491,0.5177865007544836,0.2588932503772418,0.2724254144416338,0.1008606589656418,0.00030151732394688435,0.02252689403508004
pusht,spectral,4,0,1,3,0.3257773318201166,0.1681112801717317,0.07509463883739503,0.08256448562137811,0.09769797870985528,0.6196785567929668,0.3098392783964834,0.1277869939015577,0.09770068303507105,2.704325215777126e-06,0.013929392187341362
pusht,spectral,4,0,2,3,0.29094178455247666,0.1681112801717317,0.11911502382311641,0.08256448562137811,0.1153532511470465,0.5719631680222506,0.2859815840111253,0.14598712504216452,0.11535325178043723,6.333907287547902e-10,0.026196779042093245
